Film,Country of Origin,Weekend Gross,Distributor,Weeks on release,Date
Onward,USA,1272748,Disney,2.0,March 2020
The Invisible Man,USA/Aus,827746,Universal,3.0,March 2020
The Hunt,USA,542475,Universal,1.0,March 2020
Bloodshot,USA/Chn,444917,Sony Pictures,1.0,March 2020
Military Wives,UK,407409,Lionsgate,2.0,March 2020
Sonic The Hedgehog,USA/Jpn/Kor,397171,Paramount,5.0,March 2020
Misbehaviour,UK,347643,Disney,1.0,March 2020
My Spy,USA,345575,STX Entertainment,1.0,March 2020
Parasite,Kor,235613,StudioCanal,6.0,March 2020
Dark Waters,USA,224252,eOne Films,3.0,March 2020
Dolittle,UK/USA,147740,Universal,6.0,March 2020
Blumhouse's Fantasy Island,USA,136886,Sony Pictures,2.0,March 2020
1917,UK/USA,108947,eOne Films,10.0,March 2020
Emma,UK,94782,Universal,5.0,March 2020
Chal Mera Putt 2,Ind,89906,Rhythm Boyz Entertainment/Fountain Films,1.0,March 2020
Tenet,UK/USA,5335654,Warner Bros,1.0,Aug 2020
Onward,USA,185028,Disney,26.0,Aug 2020
100% Wolf,Aus,140050,Vertigo,5.0,Aug 2020
Unhinged,USA,112465,Altitude,5.0,Aug 2020
Pinocchio,UK/Ita/Fra,94821,Vertigo,3.0,Aug 2020
Trolls World Tour,USA/Jpn,77536,Universal,21.0,Aug 2020
Hope Gap,UK,72769,Curzon,1.0,Aug 2020
Bring The Soul: The Movie (Concert),Kor,39085,Trafalgar,57.0,Aug 2020
Dreambuilders,Dnk,24755,Signature Entertainment,7.0,Aug 2020
Dirty Dancing (30th Anniversary),USA,17644,Lionsgate,186.0,Aug 2020
Jurassic Park (Re: 2020),USA,16023,Universal,9.0,Aug 2020
Dolittle,UK/USA,14375,Universal,30.0,Aug 2020
The Greatest Showman,USA,11956,20th Century Fox,140.0,Aug 2020
Babyteeth,Aus,11467,Picture House Entertainment,3.0,Aug 2020
Sonic The Hedgehog,USA/Jpn/Kor,10593,Paramount,29.0,Aug 2020
Black Widow,UK/USA,1410288,Disney,3.0,July 2021
Space Jam: A New Legacy,USA,1397044,Warner Bros,2.0,July 2021
The Croods 2: A New Age,USA,876123,Universal,2.0,July 2021
Old,USA,866860,Universal,1.0,July 2021
The Forever Purge,USA,598803,Universal,2.0,July 2021
Fast & Furious 9,UK/USA,437074,Universal,5.0,July 2021
Escape Room: Tournament Of Champions,USA/Zaf,174210,Sony Pictures,2.0,July 2021
Peter Rabbit 2,Aus/USA,159341,Sony Pictures,10.0,July 2021
A Quiet Place Part II,USA,84553,Paramount,8.0,July 2021
Off The Rails,UK,80699,Munro Film,1.0,July 2021
In The Heights,USA,66089,Warner Bros,6.0,July 2021
Cruella,UK/USA,64135,Disney,9.0,July 2021
"Summer Of Soul (...Or, When The Revolution Could Not Be Televised)",USA,46047,Disney,2.0,July 2021
Another Round,Den/Swe/Nld,40538,StudioCanal,4.0,July 2021
The Conjuring: The Devil Made Me Do It,USA,40256,Warner Bros,9.0,July 2021
